Run,Plate,ID,area,perimeter,axis_major_length,axis_minor_length,eccentricity,feret_diameter_max,solidity,aspect_ratio
RR,2,G10,45427.48944489999,803.4823293972996,245.56095518390805,236.03478426694704,0.27582980265191076,253.4282012987702,0.9828291087489779,0.9612064918470994
RR,2,G11,46583.962969869994,806.0362426621379,249.72761714559195,237.66355225868546,0.30705705985790976,255.98035295274127,0.9867114953570285,0.9516911063950404
RR,2,G12,51806.99045845999,858.7446479680732,267.9320521664461,247.22946559803862,0.38544227074296794,273.0540760240726,0.9806839318929746,0.9227319523699744
RR,2,H1,48949.820573239995,828.4214161324613,265.9245384352873,234.6302249626355,0.47065220690519294,271.12335940536366,0.9868942395611094,0.882318820005145
RR,2,H2,48435.832339919994,817.9768532740085,251.70202978857952,245.40927790650946,0.2222083667684408,263.0866065327728,0.9869089789003542,0.9749992008910069
RR,2,H3,48103.25171835999,826.8109134794937,255.94364131414042,239.79716095384705,0.3495601544750709,262.1511973176548,0.9842251778533869,0.9369139226222251
RR,2,H4,46017.06418311999,803.4823293972997,251.5929150546031,233.67762001555963,0.37060010370549246,255.69968075556918,0.9836807238649217,0.9287925296499097
RR,2,H5,49002.73112666999,834.5871081735585,267.07637281403913,234.59059644691447,0.477990108363087,269.05240333944244,0.9818264425261245,0.8783652180653811
RR,2,H6,50537.13717613999,852.0263187854291,257.5098342575512,250.18604145432158,0.2367969056788006,263.9471188824193,0.9835245660488379,0.9715591723929866
RR,2,H7,46576.404319379995,807.3704267443321,245.3352234162714,242.28707792313267,0.1571446937077794,252.33721827697156,0.9838735430304966,0.9875755896332636
RR,2,H8,49577.18856390999,829.6411453151055,256.9375364668542,246.36185961174237,0.28394860213141027,262.1223625601219,0.9870579382994733,0.9588395023921459
RR,2,H9,47165.979057599994,817.4242161324613,257.9410552449021,234.48816769641599,0.41662909698240014,265.3323777149332,0.983761626990383,0.9090765619834392
RR,2,H10,47559.02888307999,824.8096373562026,252.67458049088688,240.5400323263608,0.3061739373634846,260.371919078863,0.9825109306683323,0.9519755879639672
RR,2,H11,45374.578891469995,800.9284161324614,258.48829965996373,223.89961860035584,0.4997172279194702,267.4886643174622,0.9842597147073291,0.8661886007795764
