,original_names,plot_names
206,096h_str_BF_AreaShape_locoefa_PC_5,096h str  LoCo EFA Pc 5
207,096h_str_BF_AreaShape_locoefa_UMAP_1,096h str  LoCo EFA Umap 1
208,096h_str_BF_AreaShape_locoefa_UMAP_2,096h str  LoCo EFA Umap 2
209,096h_str_BF_AreaShape_locoefa_UMAP_3,096h str  LoCo EFA Umap 3
210,096h_str_BF_AreaShape_locoefa_coeff_0,096h str  LoCo EFA Coeff 0
211,096h_str_BF_AreaShape_locoefa_coeff_1,096h str  LoCo EFA Coeff 1
212,096h_str_BF_AreaShape_locoefa_coeff_10,096h str  LoCo EFA Coeff 10
213,096h_str_BF_AreaShape_locoefa_coeff_11,096h str  LoCo EFA Coeff 11
214,096h_str_BF_AreaShape_locoefa_coeff_12,096h str  LoCo EFA Coeff 12
215,096h_str_BF_AreaShape_locoefa_coeff_13,096h str  LoCo EFA Coeff 13
216,096h_str_BF_AreaShape_locoefa_coeff_14,096h str  LoCo EFA Coeff 14
217,096h_str_BF_AreaShape_locoefa_coeff_15,096h str  LoCo EFA Coeff 15
218,096h_str_BF_AreaShape_locoefa_coeff_16,096h str  LoCo EFA Coeff 16
219,096h_str_BF_AreaShape_locoefa_coeff_17,096h str  LoCo EFA Coeff 17
220,096h_str_BF_AreaShape_locoefa_coeff_18,096h str  LoCo EFA Coeff 18
221,096h_str_BF_AreaShape_locoefa_coeff_19,096h str  LoCo EFA Coeff 19
222,096h_str_BF_AreaShape_locoefa_coeff_2,096h str  LoCo EFA Coeff 2
223,096h_str_BF_AreaShape_locoefa_coeff_20,096h str  LoCo EFA Coeff 20
224,096h_str_BF_AreaShape_locoefa_coeff_21,096h str  LoCo EFA Coeff 21
225,096h_str_BF_AreaShape_locoefa_coeff_22,096h str  LoCo EFA Coeff 22
226,096h_str_BF_AreaShape_locoefa_coeff_23,096h str  LoCo EFA Coeff 23
227,096h_str_BF_AreaShape_locoefa_coeff_24,096h str  LoCo EFA Coeff 24
228,096h_str_BF_AreaShape_locoefa_coeff_25,096h str  LoCo EFA Coeff 25
229,096h_str_BF_AreaShape_locoefa_coeff_26,096h str  LoCo EFA Coeff 26
230,096h_str_BF_AreaShape_locoefa_coeff_27,096h str  LoCo EFA Coeff 27
231,096h_str_BF_AreaShape_locoefa_coeff_28,096h str  LoCo EFA Coeff 28
232,096h_str_BF_AreaShape_locoefa_coeff_29,096h str  LoCo EFA Coeff 29
233,096h_str_BF_AreaShape_locoefa_coeff_3,096h str  LoCo EFA Coeff 3
234,096h_str_BF_AreaShape_locoefa_coeff_30,096h str  LoCo EFA Coeff 30
235,096h_str_BF_AreaShape_locoefa_coeff_31,096h str  LoCo EFA Coeff 31
236,096h_str_BF_AreaShape_locoefa_coeff_32,096h str  LoCo EFA Coeff 32
237,096h_str_BF_AreaShape_locoefa_coeff_33,096h str  LoCo EFA Coeff 33
238,096h_str_BF_AreaShape_locoefa_coeff_34,096h str  LoCo EFA Coeff 34
239,096h_str_BF_AreaShape_locoefa_coeff_35,096h str  LoCo EFA Coeff 35
240,096h_str_BF_AreaShape_locoefa_coeff_36,096h str  LoCo EFA Coeff 36
241,096h_str_BF_AreaShape_locoefa_coeff_37,096h str  LoCo EFA Coeff 37
242,096h_str_BF_AreaShape_locoefa_coeff_38,096h str  LoCo EFA Coeff 38
243,096h_str_BF_AreaShape_locoefa_coeff_39,096h str  LoCo EFA Coeff 39
244,096h_str_BF_AreaShape_locoefa_coeff_4,096h str  LoCo EFA Coeff 4
245,096h_str_BF_AreaShape_locoefa_coeff_40,096h str  LoCo EFA Coeff 40
246,096h_str_BF_AreaShape_locoefa_coeff_41,096h str  LoCo EFA Coeff 41
247,096h_str_BF_AreaShape_locoefa_coeff_42,096h str  LoCo EFA Coeff 42
248,096h_str_BF_AreaShape_locoefa_coeff_43,096h str  LoCo EFA Coeff 43
249,096h_str_BF_AreaShape_locoefa_coeff_44,096h str  LoCo EFA Coeff 44
250,096h_str_BF_AreaShape_locoefa_coeff_45,096h str  LoCo EFA Coeff 45
251,096h_str_BF_AreaShape_locoefa_coeff_46,096h str  LoCo EFA Coeff 46
252,096h_str_BF_AreaShape_locoefa_coeff_47,096h str  LoCo EFA Coeff 47
253,096h_str_BF_AreaShape_locoefa_coeff_48,096h str  LoCo EFA Coeff 48
254,096h_str_BF_AreaShape_locoefa_coeff_49,096h str  LoCo EFA Coeff 49
255,096h_str_BF_AreaShape_locoefa_coeff_5,096h str  LoCo EFA Coeff 5
256,096h_str_BF_AreaShape_locoefa_coeff_50,096h str  LoCo EFA Coeff 50
257,096h_str_BF_AreaShape_locoefa_coeff_51,096h str  LoCo EFA Coeff 51
258,096h_str_BF_AreaShape_locoefa_coeff_6,096h str  LoCo EFA Coeff 6
259,096h_str_BF_AreaShape_locoefa_coeff_7,096h str  LoCo EFA Coeff 7
260,096h_str_BF_AreaShape_locoefa_coeff_8,096h str  LoCo EFA Coeff 8
261,096h_str_BF_AreaShape_locoefa_coeff_9,096h str  LoCo EFA Coeff 9
262,096h_str_BF_AreaShape_major_axis_length,096h str  Major Axis Length
263,096h_str_BF_AreaShape_minor_axis_length,096h str  Minor Axis Length
264,096h_str_BF_AreaShape_moments_hu_0,096h str  Moments Hu 0
265,096h_str_BF_AreaShape_moments_hu_1,096h str  Moments Hu 1
266,096h_str_BF_AreaShape_moments_hu_2,096h str  Moments Hu 2
267,096h_str_BF_AreaShape_moments_hu_3,096h str  Moments Hu 3
268,096h_str_BF_AreaShape_moments_hu_4,096h str  Moments Hu 4
269,096h_str_BF_AreaShape_moments_hu_5,096h str  Moments Hu 5
270,096h_str_BF_AreaShape_moments_hu_6,096h str  Moments Hu 6
271,096h_str_BF_AreaShape_orientation,096h str  Orientation
272,096h_str_BF_AreaShape_perimeter,096h str  Perimeter
0,072h_raw_CH_bra_mask_AreaShape_Area,072h Area
